Артикул,Бренд,Название,Ссылка на фото
W45101,Wynn's,"Омивач скла, зимовий -70°C, концентрат, 250 мл W45101",https://images2.exist.ua/media/images/products/4342/19369243/4058664.jpg
400328,Sapfire,"Омивач скла, зимовий -12°C, 3 л 400328",https://images2.exist.ua/media/images/products/2018/12/5277256_60174938.jpg
SCREENWASH805L,AD,"Омивач скла, зимовий -80°C, 5 л SCREENWASH805L",https://images2.exist.ua/media/images/products/2022/05/2022-26-05_18-30-07_13314048.jpg
996358,Sapfire,"Омивач скла, зимовий -12°C ""Морський бриз"", 3 л 996358",https://images2.exist.ua/media/images/products/2018/12/5323409_60172673.jpg
7711238966,Renault,"Омивач скла, літній -4°С, 5 л 7711238966",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_19-00-13_13314698.jpg
45201,Wynn's,"Омивач скла, літній, концентрат 1:20, 250 мл 45201",https://images2.exist.ua/media/images/products/2019/12/7327480_19612407_9hj2drZ.jpg
4036021950228,Mannol,"Омивач скла, літній, концентрат 1:100, 250 мл 4036021950228",https://images2.exist.ua/media/images/products/2018/09/4980337_41343619.jpg
4820095200149,Akvilon,"Омивач скла, літній, 4 л 4820095200149",https://images2.exist.ua/media/images/products/2022/07/2022-01-07_10-30-34_13346703.jpg
QT00015,QT-oil,"Рідина омивача літня, антимошка, Bubble Gum, 5 л QT00015",https://images2.exist.ua/media/images/products/2021/06/2021-08-06_12-30-32_8808853.jpg
5901060010013,Shell,"Омивач скла, зимовий, концентрат, 1 л 5901060010013",https://images2.exist.ua/media/images/products/2018/09/4980510_19062381.jpg
83122452028,BMW,"Омивач скла, літній, концентрат, 1 л 83122452028",https://images2.exist.ua/media/images/products/2022/07/2022-15-07_17-30-20_13455532.jpg
00A096320020,VAG,"Омивач скла, зимовий, 1 л 00A096320020",https://images2.exist.ua/media/images/products/2018/11/5284608_1824323_s3G61KO.jpg
5901060010020,Shell,"Омивач скла, зимовий, концентрат, 4 л 5901060010020",https://images2.exist.ua/media/images/products/2019/09/7119905_62747080_ZqKdUex.jpg
4823075802852,Helpix,"Омивач скла, літній ""Морська свіжість"", концентрат 1:66, 100 мл 4823075802852",https://images2.exist.ua/media/images/products/2022/06/2022-09-06_17-30-08_9530395.jpg
XB50003,Xado,"Омивач скла, зимовий -120 ° С, суперконцентрат фруктовий, 1 л XB50003",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_19-00-20_13314885.jpg
7711238977,Renault,"Омивач скла, зимовий -72°C, 1 л 7711238977",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_18-30-28_13314693.jpg
SCREENWASH801L,AD,"Омивач скла, зимовий -80°C, 1 л SCREENWASH801L",https://images2.exist.ua/media/images/products/2022/05/2022-26-05_18-30-06_13314047.jpg
332505,Sonax,"Омивач скла, зимовий, -70 ° C, 5 л 332505",https://images2.exist.ua/media/images/products/2019/03/5275253_18857533.jpg
4820095200125,Akvilon,"Омивач скла, літній, 1,5 л 4820095200125",https://images2.exist.ua/media/images/products/2022/05/2022-31-05_11-00-22_13314970.jpg
TVZ000001,VAG,"Очищувач скла, зимовий -50°C, концентрат, 1 л TVZ000001",https://images2.exist.ua/media/images/products/2022/06/2022-29-06_15-30-12_13345416.jpg
501001,Solgy,"Омивач скла, зимовий -12°С, 4 л 501001",https://images2.exist.ua/media/images/products/2021/10/2021-11-10_20-38-27_9339891.jpg
XB50106,Xado,"Омивач скла, літній, концентрат, 1 л XB50106",https://images2.exist.ua/media/images/products/2018/09/4980340_19111682.jpg
W4050,Turtle wax,"Омивач скла, зимовий -12°C, 4 л W4050",https://images2.exist.ua/media/images/products/2020/11/45__6QOCuB1.jpg
83125A1A167,BMW,"Очищувач скла, зимовий -55°С, концентрат, 5 л 83125A1A167",https://images2.exist.ua/media/images/products/2022/07/2022-14-07_11-00-16_13357056.jpg
501002,Solgy,Рідина омивача скла 501002,https://images2.exist.ua/media/images/products/2022/03/2022-28-03_11-00-27_9339893.jpg
W4049,Turtle wax,"Омыватель стекла зимний -24°C ""Рідке полум'я"", 4 л W4049",https://images2.exist.ua/media/images/products/2021/11/2021-16-11_15-01-16_9454297.jpg
SSWACC20519A,Mazda,"Омивач скла, літній, концентрат, 50 мл SSWACC20519A",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_16-30-17_13314606.jpg
388405,Sonax,"Омивач скла, літній ""Океанська свіжість"", 4 л 388405",https://images2.exist.ua/media/images/products/2021/03/45__pKFp33T.jpg
388141,Sonax,"Омивач скла, літній ""Океанська свіжість"", концентрат 1:100, 250 мл 388141",https://images2.exist.ua/media/images/products/2019/11/7244254_63217513.jpg
NASWL5PET,StarLine,"Омивач скла, літній, 5 л NASWL5PET",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-19_8867390.jpg
A000986200009,Mercedes,"Омивач скла, літній, 40 мл A000986200009",https://images2.exist.ua/media/images/products/2022/06/2022-02-06_13-30-14_7904488.jpg
000096311L,VAG,"Омивач скла, зимовий -25°C, 3 л 000096311L",https://images2.exist.ua/media/images/products/2022/06/2022-22-06_16-30-57_13336110.jpg
83122452029,BMW,"Омивач скла, літній, 250 мл 83122452029",https://images2.exist.ua/media/images/products/2022/07/2022-15-07_19-00-12_13455922.jpg
20096006,AND,"Омивач скла ""Диня""-22°C, 1 л 20096006",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_11-00-17_3887754.jpg
83125A1A171,BMW,"Омивач скла, зимовий -63 ° C, концентрат, 500 мл 83125A1A171",https://images2.exist.ua/media/images/products/2021/11/2021-30-11_12-31-24_9505936.jpg
K525,K2,"Омивач скла, літній ""Лимон"", 5 л K525",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_15-30-11_8447415.jpg
XB50014,Xado,"Омивач скла, літній, 5 л XB50014",https://images2.exist.ua/media/images/products/2022/05/2022-31-05_11-00-22_13314969.jpg
5022,Mannol,"Омивач скла, літній, концентрат 1:100 цитрусовий, 250 мл 5022",https://images2.exist.ua/media/images/products/2019/10/7145526_63111270_3ZCwsAX.jpg
0880880016,Toyota,"Омивач скла, зимовий -10°C, 100 мл 0880880016",https://images2.exist.ua/media/images/products/2021/01/45__rsmlCzN.jpg
7711238973,Renault,"Омивач скла, зимовий -20°С, 1 л 7711238973",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_18-30-29_13314697.jpg
XB50006,Xado,"Омивач скла, літній, концентрат, 250 мл XB50006",https://images2.exist.ua/media/images/products/2022/02/2022-10-02_02-36-11_13136372.jpg
1517,Liqui Moly,"Омивач скла, літній, концентрат ""Цитрус"", 50 мл 1517",https://images2.exist.ua/media/images/products/2022/02/2022-13-02_13-48-09_13238238.jpg
NASW801,StarLine,"Омивач скла, зимовий -80°С, концентрат, 1 л NASW801",https://images2.exist.ua/media/images/products/4042/56849559/3904832.jpg
45202,Wynn's,"Омивач скла, літній, концентрат 1:20, 1 л 45202",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-30-15_13314881.jpg
31301249,Volvo,"Омивач скла, зимовий -28°С, концентрат, 1 л 31301249",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_18-30-16_13314877.jpg
332541,Sonax,"Омивач скла, зимовий -20°C, 2 л 332541",https://images2.exist.ua/media/images/products/2018/09/4980054_19063306.jpg
NASWL1PET,StarLine,"Омивач скла, літній, 1 л NASWL1PET",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_12-30-38_13314748.jpg
4823075800667,Helpix,"Омивач скла, літній ""Лимон"", 4 л 4823075800667",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-12_13321170.jpg
20096008,AND,"Омивач скла, літній ""Яблуко"", 2 л 20096008",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_11-30-10_3887756.jpg
5905694000051,Moje Auto,"Засіб для очищувача вітрового скла, концентрат, 250 мл, Ліс 5905694000051",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244020.jpg
4823075804481,Helpix,"Омивач скла, всесезонний -5°С ""My Car"", 4 л 4823075804481",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-13_13321174.jpg
TVZ000001NA,VAG,"Омивач скла, зимовий -50 °С, концентрат, 1 л TVZ000001NA",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_18-30-16_13314876.jpg
G060164M2,VAG,"Омивач скла, зимовий -21 °С ""Cool & Fresh"", 1 л G060164M2",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_18-00-14_13314874.jpg
48021031074,AXXIS,"Омивач скла, зимовий -22°С ""Citrus Green"", 4 л 48021031074",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_19-00-17_13321190.jpg
HBA096036,VAG,"Омивач скла, літній, 1 л HBA096036",https://images2.exist.ua/media/images/products/2022/06/2022-06-06_19-00-15_5316544.jpg
NASWLK250,StarLine,"Омивач скла, літній, концентрат 1:100, ""Цитрус"", 250 мл NASWLK250",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-19_8867391.jpg
NASW304,StarLine,"Омивач скла, зимовий -30°C, 4 л NASW304",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_12-30-39_13314751.jpg
NASW203PET,StarLine,"Омивач скла, зимовий -20°C, 3 л NASW203PET",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-16_8867378.jpg
NASW203,StarLine,"Омивач скла, зимовий -20°C, 3 л NASW203",https://images2.exist.ua/media/images/products/2021/06/2021-12-06_15-01-33_8867377.jpg
8671013681,Renault,"Омивач скла, зимовий -20°C, 5 л 8671013681",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_11-30-18_13314738.jpg
A001986807118,Mercedes,"Омивач скла, літній, концентрат, 250 мл A001986807118",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_16-30-19_13314613.jpg
QT00011,QT-oil,"Рідина омивача літня, антимошка, Bubble Gum, 1 л QT00011",https://images2.exist.ua/media/images/products/2021/06/2021-08-06_12-30-33_8808854.jpg
HELPIX22CLEMON2L,Helpix,"Омивач скла, зимовий -22°С ""Лимон"", 2 л HELPIX22CLEMON2L",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-13_13321173.jpg
NASWL1,StarLine,"Омивач скла, літній, 1 л NASWL1",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_12-30-35_13314742.jpg
NASWLN1,StarLine,"Омивач скла, літній, 1 л NASWLN1",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-20_8867392.jpg
20096002,AND,"Омивач скла, літній ""Вишня"", 2 л 20096002",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_11-00-16_3887747.jpg
5905694007470,Moje Auto,"Засіб для очищувача вітрового скла, концентрат, 250 мл, Лимон 5905694007470",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244021.jpg
5905694007487,Moje Auto,"Засіб для очищувача лобового скла, концентрат, 250 мл, Апельсин 5905694007487",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244022.jpg
5905694007494,Moje Auto,"Засіб для очищувача вітрового скла, концентрат, 250 мл, Яблуко 5905694007494",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244023.jpg
501003,Solgy,Рідина омивача скла 501003,https://images2.exist.ua/media/images/products/2022/03/2022-28-03_11-00-27_9339896.jpg
4823075804498,Helpix,"Омивач скла, всесезонний -5°С ""Black Berry"", 4 л 4823075804498",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-14_13321175.jpg
5905694017417,Moje Auto,"Зимовий скло очищувач рідини, концентрат, 1 л, -80С 5905694017417",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-44_13244076.jpg
NASWN201,StarLine,"Омивач скла, зимовий -20°C, 1 л NASWN201",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-21_8867394.jpg
99004,Zilbermann,"Омивач скла, літній ""Bubble Gum"", 4 л 99004",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_14-30-15_7959825.jpg
99005,Zilbermann,"Омивач скла, літній ""Морська свіжість"", 4 л 99005",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_15-00-19_7959826.jpg
NASW201PET,StarLine,"Омивач скла, зимовий -20°C, 1 л NASW201PET",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-16_8867376.jpg
99KPSZ05A,POLCAR,Омивач скла 99KPSZ05A,
NASW201,StarLine,"Омивач скла, зимовий -20°C, 1 л NASW201",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-15_8867375.jpg
5024,Mannol,"Омивач скла, зимовий -70°C, концентрат цитрусовий, 1 л 5024",https://images2.exist.ua/media/images/products/2019/10/7145527_63111271_fnbo6KX.jpg
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
17776,Glint,"Рідина для омивача скла, зимова -20°C, аромат зелене яблуко, 5 л 17776",https://images2.exist.ua/media/images/products/2019/09/7123805_63035783.jpg
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
5905807001395,Organika,"Омивач скла, зимовий Adixol A-21°C, 5 л 5905807001395",https://images2.exist.ua/media/images/products/3659/41396467/4693395.jpg
W4044,Turtle wax,"Омивач скла, зимовий -35°C ""Рідке полум'я"", 4 л W4044",https://images2.exist.ua/media/images/products/2018/09/4980544_57076381.jpg
SCH20C51,Molder,Омивач скла зимовий molder lemon лимон -20 ° c sch-20c-51 SCH20C51,https://images2.exist.ua/media/images/products/2018/10/5013767_59814783.jpg
17772,Glint,"Рідина для омивача скла, зимова -20°C, аромат море, 1 л 17772",https://images2.exist.ua/media/images/products/2019/09/7123802_63035779.jpg
KR337,Kerry,"Рідина омивача скла літня, суперконцентрат ""Лісові ягоди"", 0,27 л KR337",https://images2.exist.ua/media/images/products/2021/05/2021-27-05_11-01-00_8805389.jpg
